title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
361度春季立领开襟跑步开襟卫衣,,163.59,http://img.alicdn.com/img/bao/uploaded/i4/i2/98813780/O1CN01qDP5011dnIEqWWOzN_!!98813780.jpg,,女装,女装卫衣运动衣,46841,,https://item.taobao.com/item.htm?id=1001709828205,P0,03-13发布,'1001709828205,163.59,,1
法式甜美风白色v领衬衫春季新款,,61.5,http://img.alicdn.com/img/bao/uploaded/i4/i3/3497323275/O1CN01kertEY1a4023qEyrR_!!3497323275.png,,女装,女装衬衫,46849,,https://item.taobao.com/item.htm?id=762769379918,P0,03-13发布,'762769379918,61.5,,1
长裤保暖童装休闲男秋冬季,,33,http://img.alicdn.com/img/bao/uploaded/i4/i4/2737811431/O1CN01KUeDgC1MRRYLZNH5G_!!2737811431.jpg,,女装,女装卫衣运动衣,46853,,https://item.taobao.com/item.htm?id=687939106115,P0,03-13发布,'687939106115,33,,1
女士宽松短款半拉链卫衣,,68,http://img.alicdn.com/img/bao/uploaded/i4/i4/28290442/O1CN01e27jS31F8UAqr055o_!!28290442.jpg,,女装,女装卫衣运动衣,46858,,https://item.taobao.com/item.htm?id=1004958935400,P0,03-13发布,'1004958935400,68,,1
欧美风秋冬新品黑色L高领磨毛保暖加厚连裆打底衫,,49,http://img.alicdn.com/img/bao/uploaded/i4/i4/2014781092/O1CN01jdpcML1JwBamqKAtp_!!2014781092.jpg,,女装,女装背心,46865,,https://item.taobao.com/item.htm?id=973600582816,P0,03-13发布,'973600582816,49,,1
【柠檬海盐】初夏漂亮棉绸连衣裙,,45.8,http://img.alicdn.com/img/bao/uploaded/i4/i3/655583159/O1CN01Qhjkd91ZCsE1uXxkl_!!655583159.jpg,,女装,女装连衣裙,46867,,https://item.taobao.com/item.htm?id=920098017094,P0,03-13发布,'920098017094,45.8,,1
2025秋冬装时尚韩版衬衫气质显瘦拼接蕾丝衫女洋气百搭遮肚上衣潮,,24.98,http://img.alicdn.com/img/bao/uploaded/i4/i2/2209292643573/O1CN011m5p2d1cGU9yHi4ou_!!2209292643573.jpg,,女装,女装衬衫,46871,,https://item.taobao.com/item.htm?id=860189804069,P0,03-13发布,'860189804069,24.98,,1
优衣库女装AIRismBra吊带衫,,129,http://img.alicdn.com/img/bao/uploaded/i4/i3/196993935/O1CN01dHEgUw1ewHcsRSIUz_!!4611686018427380623-0-item_pic.jpg,,女装,女装背心,46891,,https://item.taobao.com/item.htm?id=863102996126,P0,03-13发布,'863102996126,129,,1
优衣库女装休闲廓形长裤系腰带,,249,http://img.alicdn.com/img/bao/uploaded/i4/i2/196993935/O1CN01D9dTt01ewHcDNuEvM_!!4611686018427380623-0-item_pic.jpg,,女装,女装长裤,46900,,https://item.taobao.com/item.htm?id=889668830107,P0,03-13发布,'889668830107,249,,1
UR2025秋季新款女装简约休闲百搭修身无袖背心UWB450065,,41,http://img.alicdn.com/img/bao/uploaded/i4/i4/2104668892/O1CN01Y5qb5y2FYaven2tep_!!2104668892.jpg,,女装,女装背心,46903,,https://item.taobao.com/item.htm?id=958144190332,P0,03-13发布,'958144190332,41,,1
本治高等原创 赫礼颂蕾丝衬衫*,,95,"http://img.alicdn.com/img/bao/uploaded/i4/i1/755858234/O1CN01O8FG192AhEIiKN14x~crop,0,250,1440,1440~_!!755858234.jpg",,女装,女装衬衫,46905,,https://item.taobao.com/item.htm?id=984172644931,P0,03-13发布,'984172644931,95,,1
舒适保暖加绒休闲裤女冬季,,115,http://img.alicdn.com/img/bao/uploaded/i4/i4/143635035/O1CN01i5rHWf1n45IUx3f5k_!!143635035.jpg,,女装,女装长裤,46907,,https://item.taobao.com/item.htm?id=997363312658,P0,03-13发布,'997363312658,115,,1
设计感条纹圆领纯棉秋冬季长袖t恤女韩版时尚百搭显瘦上衣打底衫,,30.6,"http://img.alicdn.com/img/bao/uploaded/i4/i1/2211942233434/O1CN01RYlFUi1bEpAwhNEMa~crop,0,500,3000,3000~_!!2211942233434.jpg",,女装,女装T恤,46912,,https://item.taobao.com/item.htm?id=970626771353,P0,03-13发布,'970626771353,30.6,,1
新疆西藏西北川西草原旅行穿搭女装靴子女西部牛仔靴中筒骑士长靴,,139,http://img.alicdn.com/img/bao/uploaded/i4/i2/4218834708/O1CN01gYDL9A1keJdVZQpdi_!!4218834708.jpg,,女装,女装靴子,46919,,https://item.taobao.com/item.htm?id=798159393126,P0,03-13发布,'798159393126,139,,1
美拉德复古翻领棉服马甲女装秋冬设计感羊羔毛领加厚保暖背心外套,,43.8,http://img.alicdn.com/img/bao/uploaded/i4/i2/844381493/O1CN01kQ3mc31MtqQZmjSW2_!!844381493.jpg,,女装,女装背心,46926,,https://item.taobao.com/item.htm?id=989959199529,P0,03-13发布,'989959199529,43.8,,1
黑灰色弹力微喇叭牛仔裤女冬季加绒大码胖mm梨形身材显瘦马蹄裤子,,68.6,http://img.alicdn.com/img/bao/uploaded/i4/i4/3686467019/O1CN013pcb7z21ikrkoM08D_!!3686467019.jpg,,女装,女装牛仔裤,46928,,https://item.taobao.com/item.htm?id=740545586944,P0,03-13发布,'740545586944,68.6,,1
IN BLUE 走加拿大！秋冬运动休闲风半拉链立领绒感保暖卫衣上衣女,,39.6,http://img.alicdn.com/img/bao/uploaded/i4/i3/2204155662270/O1CN01RTZyAE1SdiB5NgqfM_!!2204155662270.jpg,,女装,女装卫衣运动衣,46942,,https://item.taobao.com/item.htm?id=999840005658,P0,03-13发布,'999840005658,39.6,,1
询价2025冬新款时尚百搭粗跟中筒靴橄榄绿色反绒长靴子,,1888,http://img.alicdn.com/img/bao/uploaded/i4/i3/840067355/O1CN01e5hHPZ24CeAFgvvU9_!!840067355.jpg,,女装,女装靴子,46946,,https://item.taobao.com/item.htm?id=991472312881,P0,03-13发布,'991472312881,1888,,1
TO1Z0043新款靴子厚底秋冬单靴马丁靴瘦瘦靴2025新款鞋,,241,http://img.alicdn.com/img/bao/uploaded/i4/i1/25412303/O1CN01F3evOf1SspEzliJO7_!!25412303.jpg,,女装,女装靴子,46949,,https://item.taobao.com/item.htm?id=991771400544,P0,03-13发布,'991771400544,241,,1
【蓝色针织马甲】独特漂亮,,255,http://img.alicdn.com/img/bao/uploaded/i4/i2/360512874/O1CN01W9Omvu1X6LPDdqIPn_!!360512874.jpg,,女装,女装背心,46950,,https://item.taobao.com/item.htm?id=984108950155,P0,03-13发布,'984108950155,255,,1
现货~无标版！进口小羊皮夹脚一字带平底拖鞋凉鞋女夏季新款,,262,http://img.alicdn.com/img/bao/uploaded/i4/i2/2506683004/O1CN010mYB691Y3sq5Fk4HN_!!2506683004.jpg,,女装,女装拖鞋平底鞋,46956,,https://item.taobao.com/item.htm?id=926264810055,P0,03-13发布,'926264810055,262,,1
UR2025秋季新款女装休闲简约气质日常百搭短款T恤UYB450020,,79,http://img.alicdn.com/img/bao/uploaded/i4/i4/2104668892/O1CN01X0c3z62FYavfKXFZV_!!2104668892.jpg,,女装,女装T恤,46960,,https://item.taobao.com/item.htm?id=974085454064,P0,03-13发布,'974085454064,79,,1
【经典复刻】AF修身亨利领打底内搭T恤25秋冬新款女装139-6178,,255,http://img.alicdn.com/img/bao/uploaded/i4/i1/3316585763/O1CN01IBzDBI1sRVdhJH1i2_!!3316585763.jpg,,女装,女装T恤,46964,,https://item.taobao.com/item.htm?id=992654063890,P0,03-13发布,'992654063890,255,,1
蒂娜78363加绒直筒羊绒裤2025冬新款韩版加厚窄版显瘦直筒裤长裤,,89,http://img.alicdn.com/img/bao/uploaded/i4/i2/681453877/O1CN01H44UbS1eVidltS84B_!!681453877.jpg,,女装,女装长裤,46966,,https://item.taobao.com/item.htm?id=982550118619,P0,03-13发布,'982550118619,89,,1
猫人长裤加绒加厚羊羔绒打底裤,,60.1,http://img.alicdn.com/img/bao/uploaded/i4/i2/2215465891185/O1CN01dqF8VA1KcmKlOf9dE_!!0-item_pic.jpg,,女装,女装长裤,46967,,https://item.taobao.com/item.htm?id=840556224337,P0,03-13发布,'840556224337,60.1,,1
秋冬新外贸原单日系INS潮时髦百搭舒适粗高跟弹力靴瘦瘦靴女短靴,,98,http://img.alicdn.com/img/bao/uploaded/i4/i1/51339702/O1CN01EIMtUf2LXZVdAEHjd_!!51339702.png,,女装,女装高跟鞋,46973,,https://item.taobao.com/item.htm?id=739666566355,P0,03-13发布,'739666566355,98,,1
高端女士牛皮大红短靴女皮靴,,253,http://img.alicdn.com/img/bao/uploaded/i4/i1/2213213762386/O1CN01N2QL021TUq2RSx6M9_!!4611686018427384658-0-item_pic.jpg,,女装,女装靴子,46981,,https://item.taobao.com/item.htm?id=738173121596,P0,03-13发布,'738173121596,253,,1
巨厚超暖！羊羔绒特厚显瘦卫裤,,121,http://img.alicdn.com/img/bao/uploaded/i4/i3/689446081/O1CN01FDgjst1un9N104ikz_!!689446081.jpg,,女装,女装长裤,46988,,https://item.taobao.com/item.htm?id=727400141149,P0,03-13发布,'727400141149,121,,1
哈伦裤松紧腰休闲秋冬加绒牛仔裤,,113.8,http://img.alicdn.com/img/bao/uploaded/i4/i2/364161001/O1CN01ZZSm5o1JGVN37qHbs_!!364161001.jpg,,女装,女装牛仔裤,46994,,https://item.taobao.com/item.htm?id=654402888124,P0,03-13发布,'654402888124,113.8,,1
蕾丝带胸垫吊带背心女,,35.1,http://img.alicdn.com/img/bao/uploaded/i4/i1/676716255/O1CN01k3i9s41w4qVEfw7KE_!!676716255.jpg,,女装,女装背心,46996,,https://item.taobao.com/item.htm?id=742960260464,P0,03-13发布,'742960260464,35.1,,1
灰色Kitty猫印花加绒休闲裤女,,70.3,http://img.alicdn.com/img/bao/uploaded/i4/i4/1958974772/O1CN015hzSK81l7d2P597m6_!!1958974772.jpg,,女装,女装长裤,46997,,https://item.taobao.com/item.htm?id=857022087847,P0,03-13发布,'857022087847,70.3,,1
女士bra一体吊带文胸内衣夏款,,39,http://img.alicdn.com/img/bao/uploaded/i4/i2/51486753/O1CN01pCNaqx1zkvfwH3GvF_!!51486753.jpg,,女装,女装背心,47001,,https://item.taobao.com/item.htm?id=904010676806,P0,03-13发布,'904010676806,39,,1
